(1:10.001,((3:0.6,((4:0.075)#H1:0.22311029254379044::0.9035340367679665,(5:0.15,#H1:0.075::0.09646596323203349):0.14811029254379046):0.3018897074562095):3.4,2:4.0):6.0009999999999994); right taxa and direction

(((3:0.6,((5:0.0755)#H1:0.22208257794688585::0.9041343083481872,(4:0.151,#H1:0.0755::0.0958656916518128):0.14658257794688587):0.3024174220531141):3.4,2:4.0):6.0,1:10.0); right taxa, wrong direction

(((3:0.6,((4:0.0765)#H1:0.222492321474962::0.9270509831248422,(5:0.153,#H1:0.0765::0.07294901687515776):0.14599232147496202):0.30100767852503796):3.4010000000000002,2:4.001):5.999999999999999,1:10.001); right taxa and direction

(1:10.0,(2:4.001,(3:0.6,((5:0.079)#H1:0.22086054924319304::0.9270509831248422,(4:0.158,#H1:0.079::0.07294901687515776):0.14186054924319305):0.3001394507568069):3.4010000000000002):5.999); right taxa, wrong direction

(1:10.0,(2:4.001,(3:0.6,((5:0.0765)#H1:0.222492321474962::0.9191871810370363,(4:0.153,#H1:0.0765::0.08081281896296365):0.14599232147496202):0.30100767852503796):3.4010000000000002):5.999); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((5:0.076)#H1:0.2228934785837633::0.8933705212091189,(4:0.152,#H1:0.076::0.10662947879088114):0.1468934785837633):0.30110652141623667):3.4):6.0); right taxa, wrong direction

(1:10.0,(2:4.001,(3:0.6,((5:0.0775)#H1:0.22214322933836145::0.9167804732935938,(4:0.155,#H1:0.0775::0.0832195267064062):0.14464322933836146):0.3003567706616385):3.4010000000000002):5.999); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((4:0.0755)#H1:0.2236227786063631::0.8967203327522215,(5:0.151,#H1:0.0755::0.10327966724777848):0.1481227786063631):0.3008772213936369):3.4):6.0); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((4:0.081)#H1:0.21634944353622698::0.8897802879278691,(5:0.162,#H1:0.081::0.11021971207213092):0.135349443536227):0.302650556463773):3.4):6.0); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((5:0.0765)#H1:0.22348211342527557::0.8953503398148438,(4:0.153,#H1:0.0765::0.1046496601851562):0.1469821134252756):0.3000178865747244):3.4):6.0); right taxa, wrong direction

(((3:0.601,((4:0.0765)#H1:0.22280754971092404::0.8990881138484472,(5:0.153,#H1:0.0765::0.1009118861515528):0.14630754971092405):0.30169245028907593):3.399,2:4.0):6.0,1:10.0); right taxa and direction

((2:4.0,(3:0.6,((5:0.076)#H1:0.22448516147381398::0.897155071983925,(4:0.152,#H1:0.076::0.10284492801607503):0.148485161473814):0.299514838526186):3.4):6.0,1:10.0); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((4:0.078)#H1:0.219851235411389::0.8819660112501051,(5:0.156,#H1:0.078::0.1180339887498949):0.14185123541138903):0.30214876458861095):3.4):6.0); right taxa and direction

(1:10.0,(2:4.001,(3:0.6,((4:0.078)#H1:0.2207805334986344::0.904096132336542,(5:0.156,#H1:0.078::0.09590386766345808):0.14278053349863443):0.30121946650136555):3.4010000000000002):5.999); right taxa and direction

(1:10.001,(2:4.0,(3:0.6,((5:0.0755)#H1:0.22208257794688585::0.9121043997133811,(4:0.151,#H1:0.0755::0.08789560028661893):0.14658257794688587):0.3024174220531141):3.4):6.0009999999999994); right taxa, wrong direction

(1:10.0,(2:4.0009999999999994,(3:0.6,((4:0.0795)#H1:0.2204701096129637::0.8917856713626061,(5:0.159,#H1:0.0795::0.10821432863739389):0.14097010961296372):0.30002989038703626):3.4009999999999994):5.9990000000000006); right taxa and direction

(1:10.0,(2:4.0,(3:0.601,((4:0.0765)#H1:0.22280754971092404::0.8945390353119912,(5:0.153,#H1:0.0765::0.10546096468800881):0.14630754971092405):0.30169245028907593):3.399):6.0); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((5:0.08)#H1:0.22065044950046264::0.9082843506544535,(4:0.16,#H1:0.08::0.09171564934554655):0.14065044950046265):0.2993495504995373):3.4):6.0); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((5:0.0755)#H1:0.22208257794688585::0.9026307455077902,(4:0.151,#H1:0.0755::0.09736925449220979):0.14658257794688587):0.3024174220531141):3.4):6.0); right taxa, wrong direction

